,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674442.398562417,1,1,-46303,685426,-1238884,25797299,126841,33185
1615674443.402099671,1,1,-47569,508273,-1240850,25796442,123092,-163442
1615674444.405634501,1,1,-48391,510078,-1239252,25797789,125959,-99610
1615674445.409165649,1,1,-48011,558082,-1240113,25797544,126306,-49192
1615674446.412695738,1,1,-45861,833855,-1238761,25799502,126967,237344
1615674447.416224362,1,1,-45070,683884,-1239621,25797421,124226,32397
1615674448.419764185,1,1,-51396,474921,-1241218,25796442,121548,-199763
1615674449.423290025,1,1,-48233,518946,-1239498,25797544,123565,-90731
1615674450.426832322,1,1,-48075,559221,-1240235,25797421,123187,-47651
1615674451.430361768,1,1,-45007,785851,-1238761,25798645,129551,169379
1615674452.433893756,1,1,-45671,673018,-1239252,25798156,126148,20577
1615674453.437432922,1,1,-51143,394792,-1240973,25796442,121076,-286449
1615674454.440958150,1,1,-45449,532599,-1240481,25797544,123659,-73411
1615674455.444490368,1,1,-45861,587683,-1240235,25799257,126526,-18598
1615674456.448018903,1,1,-46904,790127,-1238392,25799012,129740,167155
1615674457.451553871,1,1,-47347,662800,-1239990,25798890,124100,11733
1615674458.455093111,1,1,-48897,379684,-1240481,25796687,124825,-287587
1615674459.458621729,1,1,-48739,544271,-1238638,25798278,126810,-61976
1615674460.462154710,1,1,-45038,695136,-1238024,25799502,124856,111658
1615674461.465689200,1,1,-45924,743262,-1238638,25799502,127597,104881
1615674462.469221575,1,1,-48233,697747,-1238269,25798523,124573,26093
1615674463.472753383,1,1,-47853,390761,-1240235,25796809,122714,-260513
1615674464.476289152,1,1,-47442,549950,-1239990,25798645,127755,-56880
1615674465.479821667,1,1,-44595,803920,-1237040,25800114,125991,233544
1615674466.483348119,1,1,-49846,716553,-1239007,25798890,127188,69296
1615674467.486885878,1,1,-47157,640104,-1238146,25798523,124037,-9789
